frame_id,source_video,video_id,source_frame_idx,timestamp_ms,diff_from_prev,kept
Screen_Recording_2026-07-03_at_12.06.59 AM_003444.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3444,107888,1.39,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003447.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3447,108008,2.66,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003450.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3450,108108,4.27,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003453.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3453,108188,5.07,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003456.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3456,108268,5.97,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003459.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3459,108348,6.87,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003462.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3462,108428,7.72,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003465.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3465,108528,8.38,True
Screen_Recording_2026-07-03_at_12.06.59 AM_003468.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3468,108648,3.02,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003471.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3471,108728,4.63,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003474.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3474,108848,6.46,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003477.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3477,108928,6.88,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003480.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3480,109008,7.53,False
